,Site,Slope,PICRUSt2,acdS
1986.1.1.1.1,Sterling,Summit,4882028,130759
1986.1.1.17.1,Sterling,Summit,5030659,1613020
1986.1.1.21.1,Sterling,Summit,4624507,1029634
1986.1.1.3.1,Sterling,Summit,5107805,727435
1986.1.2.1.1,Sterling,Side,,2240
1986.1.2.17.1,Sterling,Side,14078189,6878689
1986.1.2.21.1,Sterling,Side,4226682,708267
1986.1.2.3.1,Sterling,Side,13594777,1775833
1986.1.3.1.1,Sterling,Toe,23098294,
1986.1.3.17.1,Sterling,Toe,39921893,12947093
1986.1.3.21.1,Sterling,Toe,39434137,5281164
1986.1.3.3.1,Sterling,Toe,11239060,5325315
1986.2.1.14.1,Stratton,Summit,4110724,13047
1986.2.1.19.1,Stratton,Summit,7456678,1160585
1986.2.1.3.1,Stratton,Summit,7308007,
1986.2.1.4.1,Stratton,Summit,6744703,2085400
1986.2.2.14.1,Stratton,Side,3014825,1160840
1986.2.2.19.1,Stratton,Side,11494572,4663371
1986.2.2.3.1,Stratton,Side,8469218,2834613
1986.2.2.4.1,Stratton,Side,20292934,4243639
1986.2.3.14.1,Stratton,Toe,30650730,9616608
1986.2.3.19.1,Stratton,Toe,13169447,7245069
1986.2.3.3.1,Stratton,Toe,14889401,3882652
1986.2.3.4.1,Stratton,Toe,4357222,2154619
1986.3.1.10.1,Walsh,Summit,1135554,1328
1986.3.1.12.1,Walsh,Summit,2696154,437531
1986.3.1.13.1,Walsh,Summit,2513203,9904
1986.3.1.17.1,Walsh,Summit,195862,27837
1986.3.2.10.1,Walsh,Side,1407491,357898
1986.3.2.12.1,Walsh,Side,5876749,1172458
1986.3.2.13.1,Walsh,Side,475459,61503
1986.3.2.17.1,Walsh,Side,464650,22590
1986.3.3.10.1,Walsh,Toe,2890686,838718
1986.3.3.12.1,Walsh,Toe,15674791,17420
1986.3.3.13.1,Walsh,Toe,1008410,41280
1986.3.3.17.1,Walsh,Toe,355312,1907881
