"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"X1986.1.1.1.1",55,55,0,55,1.68415071664137,3.3313953935689,0.928831481915601,14.0511567040654,8.22588881719098
"X1986.1.1.17.1",28,28,0,28,1.36277028773849,2.764302418515,0.900192238656082,10.0192608924891,3.97202700385423
"X1986.1.1.21.1",33,33,0,33,0.984731927834662,2.85055214367205,0.888843402560751,8.99631711510906,4.58859319648332
"X1986.1.2.17.1",22,22,0,NA,NA,2.44495832284684,0.860792535700351,7.18352284506431,2.9214343716134
"X1986.1.2.21.1",27,27,0,27,1.36082763487954,2.26432052936279,0.785127728348425,4.6539276208777,3.52080890080527
"X1986.1.2.3.1",24,24,0,NA,NA,2.26097737726018,0.821033100108358,5.58762542462021,3.22294668035103
"X1986.1.3.17.1",12,12,0,NA,NA,1.82366641423592,0.752017642452443,4.03254493541229,1.57127828444129
"X1986.1.3.21.1",25,25,0,25,0.979795897113271,2.25460432267229,0.819610845728463,5.54357053248732,3.30154800179241
"X1986.1.3.3.1",13,13,0,13,0.960768922830523,1.8284312749362,0.74326574484605,3.89507819827297,1.76905700927145
"X1986.2.1.14.1",64,64,0,NA,NA,3.43167824623812,0.940373505468578,16.7710680941175,9.15480717914642
"X1986.2.1.19.1",45,45,0,NA,NA,2.94166825554219,0.903844884689927,10.3998627298744,6.17823542387947
"X1986.2.1.4.1",29,29,0,29,0.982607368881035,2.14676186994813,0.77816523174471,4.50785964646078,3.81562883180559
"X1986.2.2.14.1",45,45,0,45,0.988826464946088,3.28293032708126,0.941307361413974,17.0379118078718,6.08659140389077
"X1986.2.2.19.1",43,43,0,43,1.38093328737707,2.81136275886408,0.887302209411278,8.87328841830968,5.5777437192165
"X1986.2.2.3.1",36,36,0.246503324295817,37,1.02333770553309,2.55853435851701,0.85387151032735,6.8432925177024,4.8835989498936
"X1986.2.2.4.1",41,41,0,41,0.98772959664959,2.89681543049162,0.901812604624492,10.184606651145,5.62576711950986
"X1986.2.3.14.1",23,23,0,NA,NA,2.41601626785786,0.850201587493178,6.67563816775733,3.0248892457599
"X1986.2.3.19.1",32,32,0,NA,NA,2.61829043457729,0.849670466382243,6.65205283309599,4.28921344025345
"X1986.2.3.3.1",20,20,0,NA,NA,2.25172606550685,0.825722700542048,5.73798195812227,2.61930646941646
"X1986.3.1.12.1",53,53,0,53,0.990521113087297,3.04181937388998,0.90449171072444,10.4702953804858,7.43664448823579
"X1986.3.1.13.1",58,58,0,58,1.68666166915801,3.08595961822005,0.905682240516636,10.6024571138841,8.25504869771572
"X1986.3.1.17.1",21,21,0,21,0.975900072948533,2.38083697469322,0.864402457333317,7.37476491338882,2.81477119335907
"X1986.3.2.10.1",43,43,0,NA,NA,2.98563608706518,0.902940464739633,10.3029547516115,5.93406215596203
"X1986.3.2.12.1",29,29,0,NA,NA,2.22161783039306,0.766950485157506,4.29093362702706,3.67731674486262
"X1986.3.2.13.1",51,51,0.495073771488337,52.09375,1.42940134372262,3.0184290674233,0.901262235808432,10.1278371876016,7.2683301230514
"X1986.3.2.17.1",70,70,0,70,0.992831448793946,3.45769866787997,0.944852132770198,18.1330675188758,9.86690492390362
"X1986.3.3.10.1",49,49,0,49,1.91662969499982,2.81193710572465,0.859292358585582,7.1069345626707,6.73710820769006
"X1986.3.3.12.1",44,44,0,44,1.38169855941551,2.49871141752889,0.793559087998752,4.84400107665653,5.83486734317455
"X1986.3.3.13.1",70,70,0,70,0.992831448793946,3.38684382887749,0.929417586121881,14.1678350888762,9.72650769039927
"X1986.3.3.17.1",30,30,0,30,0.983192080250175,2.43068781802014,0.820644918289391,5.57553201427271,3.75403769663746
