"","OTU","Sample","Abundance","Year","Site","Slope","Strip","Depth","Kingdom","Phylum"
"1","OTU1","1986.1.1.1.1",1,1986,"Sterling","Summit",1,1,"Bacteria","Proteobacteria"
"2","OTU1","1986.1.1.17.1",1,1986,"Sterling","Summit",17,1,"Bacteria","Proteobacteria"
"3","OTU1","1986.1.1.21.1",1,1986,"Sterling","Summit",21,1,"Bacteria","Proteobacteria"
"4","OTU1","1986.1.2.17.1",1,1986,"Sterling","Side",17,1,"Bacteria","Proteobacteria"
"5","OTU1","1986.2.2.19.1",1,1986,"Stratton","Side",19,1,"Bacteria","Proteobacteria"
"6","OTU1","1986.2.1.19.1",1,1986,"Stratton","Summit",19,1,"Bacteria","Proteobacteria"
"7","OTU1","1986.1.3.21.1",1,1986,"Sterling","Toe",21,1,"Bacteria","Proteobacteria"
"8","OTU1","1986.1.2.21.1",1,1986,"Sterling","Side",21,1,"Bacteria","Proteobacteria"
"9","OTU1","1986.2.2.3.1",1,1986,"Stratton","Side",3,1,"Bacteria","Proteobacteria"
"10","OTU1","1986.2.1.4.1",1,1986,"Stratton","Summit",4,1,"Bacteria","Proteobacteria"
"11","OTU1","1986.1.3.3.1",1,1986,"Sterling","Toe",3,1,"Bacteria","Proteobacteria"
"13","OTU1","1986.2.2.4.1",1,1986,"Stratton","Side",4,1,"Bacteria","Proteobacteria"
"14","OTU1","1986.2.2.14.1",1,1986,"Stratton","Side",14,1,"Bacteria","Proteobacteria"
"15","OTU1","1986.2.1.14.1",1,1986,"Stratton","Summit",14,1,"Bacteria","Proteobacteria"
"16","OTU1","1986.1.3.17.1",1,1986,"Sterling","Toe",17,1,"Bacteria","Proteobacteria"
"17","OTU1","1986.2.3.14.1",1,1986,"Stratton","Toe",14,1,"Bacteria","Proteobacteria"
"18","OTU1","1986.3.3.10.1",1,1986,"Walsh","Toe",10,1,"Bacteria","Proteobacteria"
"21","OTU1","1986.2.3.19.1",1,1986,"Stratton","Toe",19,1,"Bacteria","Proteobacteria"
"24","OTU1","1986.3.1.17.1",1,1986,"Walsh","Summit",17,1,"Bacteria","Proteobacteria"
"25","OTU1","1986.2.3.3.1",1,1986,"Stratton","Toe",3,1,"Bacteria","Proteobacteria"
"29","OTU1","1986.3.1.12.1",1,1986,"Walsh","Summit",12,1,"Bacteria","Proteobacteria"
"30","OTU1","1986.3.3.17.1",1,1986,"Walsh","Toe",17,1,"Bacteria","Proteobacteria"
"19","OTU1","1986.3.2.12.1",0.998261580938746,1986,"Walsh","Side",12,1,"Bacteria","Proteobacteria"
"28","OTU1","1986.3.2.10.1",0.995792763553312,1986,"Walsh","Side",10,1,"Bacteria","Proteobacteria"
"23","OTU1","1986.3.2.13.1",0.993455174117066,1986,"Walsh","Side",13,1,"Bacteria","Proteobacteria"
"12","OTU1","1986.1.2.3.1",0.99203042927006,1986,"Sterling","Side",3,1,"Bacteria","Proteobacteria"
"27","OTU1","1986.3.2.17.1",0.987964989059081,1986,"Walsh","Side",17,1,"Bacteria","Proteobacteria"
"22","OTU1","1986.3.3.12.1",0.985706482155863,1986,"Walsh","Toe",12,1,"Bacteria","Proteobacteria"
"26","OTU1","1986.3.3.13.1",0.96832858133621,1986,"Walsh","Toe",13,1,"Bacteria","Proteobacteria"
"20","OTU1","1986.3.1.13.1",0.967790584940213,1986,"Walsh","Summit",13,1,"Bacteria","Proteobacteria"
"46","OTU100","1986.3.1.13.1",0.0322094150597867,1986,"Walsh","Summit",13,1,"unclassified","unclassified"
"59","OTU100","1986.3.3.13.1",0.0301302304076443,1986,"Walsh","Toe",13,1,"unclassified","unclassified"
"58","OTU100","1986.3.3.12.1",0.0142935178441369,1986,"Walsh","Toe",12,1,"unclassified","unclassified"
"38","OTU100","1986.1.2.3.1",0.00796957072994023,1986,"Sterling","Side",3,1,"unclassified","unclassified"
"49","OTU100","1986.3.2.13.1",0.00654482588293406,1986,"Walsh","Side",13,1,"unclassified","unclassified"
"53","OTU100","1986.3.2.17.1",0.00648039050664871,1986,"Walsh","Side",17,1,"unclassified","unclassified"
"81","OTU271","1986.3.2.10.1",0.0042072364466883,1986,"Walsh","Side",10,1,"Bacteria","Actinobacteria"
"80","OTU271","1986.3.2.17.1",0.00361891937384279,1986,"Walsh","Side",17,1,"Bacteria","Actinobacteria"
"107","OTU307","1986.3.2.17.1",0.00193570106042754,1986,"Walsh","Side",17,1,"Bacteria","Bacteria unclassified"
"45","OTU100","1986.3.2.12.1",0.00173841906125371,1986,"Walsh","Side",12,1,"unclassified","unclassified"
"88","OTU271","1986.3.3.13.1",0.00154118825614549,1986,"Walsh","Toe",13,1,"Bacteria","Actinobacteria"
"31","OTU100","1986.1.1.1.1",0,1986,"Sterling","Summit",1,1,"unclassified","unclassified"
"32","OTU100","1986.2.1.19.1",0,1986,"Stratton","Summit",19,1,"unclassified","unclassified"
"33","OTU100","1986.1.3.21.1",0,1986,"Sterling","Toe",21,1,"unclassified","unclassified"
"34","OTU100","1986.1.2.21.1",0,1986,"Sterling","Side",21,1,"unclassified","unclassified"
"35","OTU100","1986.1.1.17.1",0,1986,"Sterling","Summit",17,1,"unclassified","unclassified"
"36","OTU100","1986.2.1.4.1",0,1986,"Stratton","Summit",4,1,"unclassified","unclassified"
"37","OTU100","1986.1.3.3.1",0,1986,"Sterling","Toe",3,1,"unclassified","unclassified"
"39","OTU100","1986.1.1.21.1",0,1986,"Sterling","Summit",21,1,"unclassified","unclassified"
"40","OTU100","1986.2.2.14.1",0,1986,"Stratton","Side",14,1,"unclassified","unclassified"
"41","OTU100","1986.2.1.14.1",0,1986,"Stratton","Summit",14,1,"unclassified","unclassified"
"42","OTU100","1986.1.3.17.1",0,1986,"Sterling","Toe",17,1,"unclassified","unclassified"
"43","OTU100","1986.1.2.17.1",0,1986,"Sterling","Side",17,1,"unclassified","unclassified"
"44","OTU100","1986.2.2.19.1",0,1986,"Stratton","Side",19,1,"unclassified","unclassified"
"47","OTU100","1986.2.3.19.1",0,1986,"Stratton","Toe",19,1,"unclassified","unclassified"
"48","OTU100","1986.2.2.3.1",0,1986,"Stratton","Side",3,1,"unclassified","unclassified"
"50","OTU100","1986.3.1.17.1",0,1986,"Walsh","Summit",17,1,"unclassified","unclassified"
"51","OTU100","1986.2.3.3.1",0,1986,"Stratton","Toe",3,1,"unclassified","unclassified"
"52","OTU100","1986.2.2.4.1",0,1986,"Stratton","Side",4,1,"unclassified","unclassified"
"54","OTU100","1986.3.2.10.1",0,1986,"Walsh","Side",10,1,"unclassified","unclassified"
"55","OTU100","1986.3.1.12.1",0,1986,"Walsh","Summit",12,1,"unclassified","unclassified"
"56","OTU100","1986.2.3.14.1",0,1986,"Stratton","Toe",14,1,"unclassified","unclassified"
"57","OTU100","1986.3.3.10.1",0,1986,"Walsh","Toe",10,1,"unclassified","unclassified"
"60","OTU100","1986.3.3.17.1",0,1986,"Walsh","Toe",17,1,"unclassified","unclassified"
"61","OTU271","1986.1.1.1.1",0,1986,"Sterling","Summit",1,1,"Bacteria","Actinobacteria"
"62","OTU271","1986.2.1.19.1",0,1986,"Stratton","Summit",19,1,"Bacteria","Actinobacteria"
"63","OTU271","1986.1.3.21.1",0,1986,"Sterling","Toe",21,1,"Bacteria","Actinobacteria"
"64","OTU271","1986.1.1.17.1",0,1986,"Sterling","Summit",17,1,"Bacteria","Actinobacteria"
"65","OTU271","1986.2.1.4.1",0,1986,"Stratton","Summit",4,1,"Bacteria","Actinobacteria"
"66","OTU271","1986.1.3.3.1",0,1986,"Sterling","Toe",3,1,"Bacteria","Actinobacteria"
"67","OTU271","1986.1.1.21.1",0,1986,"Sterling","Summit",21,1,"Bacteria","Actinobacteria"
"68","OTU271","1986.2.2.14.1",0,1986,"Stratton","Side",14,1,"Bacteria","Actinobacteria"
"69","OTU271","1986.2.1.14.1",0,1986,"Stratton","Summit",14,1,"Bacteria","Actinobacteria"
"70","OTU271","1986.1.2.17.1",0,1986,"Sterling","Side",17,1,"Bacteria","Actinobacteria"
"71","OTU271","1986.2.2.19.1",0,1986,"Stratton","Side",19,1,"Bacteria","Actinobacteria"
"72","OTU271","1986.3.2.12.1",0,1986,"Walsh","Side",12,1,"Bacteria","Actinobacteria"
"73","OTU271","1986.3.1.13.1",0,1986,"Walsh","Summit",13,1,"Bacteria","Actinobacteria"
"74","OTU271","1986.1.2.21.1",0,1986,"Sterling","Side",21,1,"Bacteria","Actinobacteria"
"75","OTU271","1986.2.2.3.1",0,1986,"Stratton","Side",3,1,"Bacteria","Actinobacteria"
"76","OTU271","1986.3.2.13.1",0,1986,"Walsh","Side",13,1,"Bacteria","Actinobacteria"
"77","OTU271","1986.3.1.17.1",0,1986,"Walsh","Summit",17,1,"Bacteria","Actinobacteria"
"78","OTU271","1986.1.2.3.1",0,1986,"Sterling","Side",3,1,"Bacteria","Actinobacteria"
"79","OTU271","1986.2.2.4.1",0,1986,"Stratton","Side",4,1,"Bacteria","Actinobacteria"
"82","OTU271","1986.1.3.17.1",0,1986,"Sterling","Toe",17,1,"Bacteria","Actinobacteria"
"83","OTU271","1986.2.3.14.1",0,1986,"Stratton","Toe",14,1,"Bacteria","Actinobacteria"
"84","OTU271","1986.3.3.10.1",0,1986,"Walsh","Toe",10,1,"Bacteria","Actinobacteria"
"85","OTU271","1986.2.3.19.1",0,1986,"Stratton","Toe",19,1,"Bacteria","Actinobacteria"
"86","OTU271","1986.3.3.12.1",0,1986,"Walsh","Toe",12,1,"Bacteria","Actinobacteria"
"87","OTU271","1986.2.3.3.1",0,1986,"Stratton","Toe",3,1,"Bacteria","Actinobacteria"
"89","OTU271","1986.3.1.12.1",0,1986,"Walsh","Summit",12,1,"Bacteria","Actinobacteria"
"90","OTU271","1986.3.3.17.1",0,1986,"Walsh","Toe",17,1,"Bacteria","Actinobacteria"
"91","OTU307","1986.1.1.1.1",0,1986,"Sterling","Summit",1,1,"Bacteria","Bacteria unclassified"
"92","OTU307","1986.2.1.19.1",0,1986,"Stratton","Summit",19,1,"Bacteria","Bacteria unclassified"
"93","OTU307","1986.1.1.17.1",0,1986,"Sterling","Summit",17,1,"Bacteria","Bacteria unclassified"
"94","OTU307","1986.2.1.4.1",0,1986,"Stratton","Summit",4,1,"Bacteria","Bacteria unclassified"
"95","OTU307","1986.1.1.21.1",0,1986,"Sterling","Summit",21,1,"Bacteria","Bacteria unclassified"
"96","OTU307","1986.2.2.14.1",0,1986,"Stratton","Side",14,1,"Bacteria","Bacteria unclassified"
"97","OTU307","1986.1.2.17.1",0,1986,"Sterling","Side",17,1,"Bacteria","Bacteria unclassified"
"98","OTU307","1986.2.2.19.1",0,1986,"Stratton","Side",19,1,"Bacteria","Bacteria unclassified"
"99","OTU307","1986.3.2.12.1",0,1986,"Walsh","Side",12,1,"Bacteria","Bacteria unclassified"
"100","OTU307","1986.1.3.21.1",0,1986,"Sterling","Toe",21,1,"Bacteria","Bacteria unclassified"
"101","OTU307","1986.1.2.21.1",0,1986,"Sterling","Side",21,1,"Bacteria","Bacteria unclassified"
"102","OTU307","1986.2.2.3.1",0,1986,"Stratton","Side",3,1,"Bacteria","Bacteria unclassified"
"103","OTU307","1986.3.2.13.1",0,1986,"Walsh","Side",13,1,"Bacteria","Bacteria unclassified"
"104","OTU307","1986.1.3.3.1",0,1986,"Sterling","Toe",3,1,"Bacteria","Bacteria unclassified"
"105","OTU307","1986.1.2.3.1",0,1986,"Sterling","Side",3,1,"Bacteria","Bacteria unclassified"
"106","OTU307","1986.2.2.4.1",0,1986,"Stratton","Side",4,1,"Bacteria","Bacteria unclassified"
"108","OTU307","1986.2.1.14.1",0,1986,"Stratton","Summit",14,1,"Bacteria","Bacteria unclassified"
"109","OTU307","1986.1.3.17.1",0,1986,"Sterling","Toe",17,1,"Bacteria","Bacteria unclassified"
"110","OTU307","1986.2.3.14.1",0,1986,"Stratton","Toe",14,1,"Bacteria","Bacteria unclassified"
"111","OTU307","1986.3.3.10.1",0,1986,"Walsh","Toe",10,1,"Bacteria","Bacteria unclassified"
"112","OTU307","1986.3.1.13.1",0,1986,"Walsh","Summit",13,1,"Bacteria","Bacteria unclassified"
"113","OTU307","1986.2.3.19.1",0,1986,"Stratton","Toe",19,1,"Bacteria","Bacteria unclassified"
"114","OTU307","1986.3.3.12.1",0,1986,"Walsh","Toe",12,1,"Bacteria","Bacteria unclassified"
"115","OTU307","1986.3.1.17.1",0,1986,"Walsh","Summit",17,1,"Bacteria","Bacteria unclassified"
"116","OTU307","1986.2.3.3.1",0,1986,"Stratton","Toe",3,1,"Bacteria","Bacteria unclassified"
"117","OTU307","1986.3.3.13.1",0,1986,"Walsh","Toe",13,1,"Bacteria","Bacteria unclassified"
"118","OTU307","1986.3.2.10.1",0,1986,"Walsh","Side",10,1,"Bacteria","Bacteria unclassified"
"119","OTU307","1986.3.1.12.1",0,1986,"Walsh","Summit",12,1,"Bacteria","Bacteria unclassified"
"120","OTU307","1986.3.3.17.1",0,1986,"Walsh","Toe",17,1,"Bacteria","Bacteria unclassified"
